Date,Username,URL,Hashtags,Rendered_Content,Out_Links,Users_Mentioned,Media,Coordinates,Place,Source_URL,Source_Label,Retweeted_Tweet,Quoted_Tweet,Replies,Retweets,Likes,Quotes
8/3/2011 9:14:04 AM,SBTS,https://twitter.com/SBTS/status/98743437142130690,,In The Briefing @albertmohler discusses crisis postponed; Europe’s youth job scarcity; no birth control copay; & more. http://ow.ly/5U2Gk,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
8/2/2011 2:25:26 PM,SBTS,https://twitter.com/SBTS/status/98459406924132352,,Is Social Justice an Essential Part of the Mission of the Church? @albertmohler to debate Jim Wallis Oct. 27 at TEDS http://bit.ly/r5CtFB,,['albertmohler'],,,,https://about.twitter.com/products/tweetdeck,TweetDeck,,,0,2,1,0
8/2/2011 8:54:07 AM,SBTS,https://twitter.com/SBTS/status/98376027297943552,,In The Briefing @albertmohler discusses road to downgrade; why the debt crisis is worse than you think; & contraception http://ow.ly/5T0A6,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
8/1/2011 8:45:51 AM,SBTS,https://twitter.com/SBTS/status/98011561045659648,,"The second season of ""The Briefing"" with @albertmohler starts today, listen to analysis about cultural conversations @ http://bit.ly/oGWaWI",,['albertmohler'],,,,https://about.twitter.com/products/tweetdeck,TweetDeck,,,0,1,0,0
7/25/2011 8:58:43 AM,SBTS,https://twitter.com/SBTS/status/95478081766170624,,"Towers: @albertmohler contributes to book about doctrine of hell, releases July 25 http://ow.ly/5MtdH",,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,1,0,0
7/24/2011 5:18:59 PM,SBTS,https://twitter.com/SBTS/status/95241590590808065,,"Towers: Mohler contributes to book about doctrine of hell, releases July 25 http://ow.ly/5M5Nd",,[],,,,http://www.hootsuite.com,Hootsuite,,,0,1,0,0
7/22/2011 12:09:45 PM,SBTS,https://twitter.com/SBTS/status/94438993982275585,,Towers: Mohler suggests 11 for ‘11 http://ow.ly/5L38S,,[],,,,http://www.hootsuite.com,Hootsuite,,,0,0,1,0
7/21/2011 4:11:06 PM,SBTS,https://twitter.com/SBTS/status/94137342683643904,,@albertmohler: 10 Books Every Preacher Should Read in 2011 http://ow.ly/5Kkqb,,['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,3,1,0
7/1/2011 9:50:41 AM,SBTS,https://twitter.com/SBTS/status/86793850168946688,,Towers: Mohler discusses homosexuality in WSJ opinion piece http://ow.ly/5uL84,,[],,,,http://www.hootsuite.com,Hootsuite,,,0,1,0,0
7/1/2011 8:55:03 AM,SBTS,https://twitter.com/SBTS/status/86779851041804288,,"Today's @WSJ features an opinion piece by @albertmohler ""Evangelicals and the Gay Moral Revolution"" on.wsj.com/mIY4mS",['http://on.wsj.com/mIY4mS'],"['WSJ', 'albertmohler']",,,,http://www.hootsuite.com,Hootsuite,,,0,7,3,0
